                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7111,                  3.647,                 1.7809,                  1.507,                 5.2897,                 1.6377,                0.84354,                0.05208,                0.05032,                0.01826,                 2.0259,                 3.7901,                 2.2688,                 1.6981,                 6.6542,                 2.0082,                0.07025,              0.0033056,              0.0033056
                      2,                 1.6357,                 2.8645,                 1.6423,                 1.3712,                 4.1783,                 1.4825,                0.39012,                0.09273,                0.04877,                0.01814,                 2.3319,                 4.0517,                 2.4711,                 1.9666,                 6.1709,                 2.1925,               0.040184,              0.0065732,              0.0065732
                      3,                 1.6913,                 2.5061,                 1.6647,                 1.4496,                 3.6768,                 1.5017,                0.46875,                0.07543,                0.09292,                0.03485,                 2.5522,                 4.2005,                 2.6115,                 2.1573,                  5.608,                 2.3053,               0.010053,              0.0097748,              0.0097748
                      4,                 1.7026,                 2.4239,                 1.7124,                 1.5072,                 3.5088,                  1.552,                0.36381,                0.11339,                0.11459,                0.04252,                 2.2986,                  4.362,                  2.492,                 1.9832,                 5.3847,                 2.2551,               0.009703,               0.009703,               0.009703
                      5,                 1.6594,                 2.2963,                 1.6791,                 1.5227,                 3.2496,                 1.5706,                0.52669,                0.34081,                0.25366,                0.10203,                 1.8572,                 3.0814,                 2.0865,                 1.7048,                 3.9015,                 1.9873,               0.009703,               0.009703,               0.009703
                      6,                 1.6056,                 2.1551,                 1.6417,                 1.4943,                 2.9887,                 1.5288,                 0.1934,                0.30037,                0.19806,                0.07479,                  2.128,                 3.8573,                 2.4247,                 1.8895,                 5.1349,                 2.2121,               0.009604,               0.009604,               0.009604
                      7,                 1.5821,                 2.1141,                 1.6441,                 1.4603,                 2.8164,                 1.5285,                0.51377,                0.18509,                0.14156,                0.06826,                 2.5476,                 3.8384,                 2.9702,                 2.2561,                 4.5051,                 2.8341,               0.009505,               0.009505,               0.009505
                      8,                 1.5795,                  2.028,                 1.6142,                 1.5078,                 2.6466,                 1.5439,                0.39867,                0.02736,                 0.0275,                0.00791,                 2.9567,                 4.2951,                 3.4557,                 2.5445,                 4.9034,                 3.0331,               0.009406,               0.009406,               0.009406
                      9,                 1.5357,                 1.9726,                 1.6007,                 1.4707,                  2.547,                 1.5322,                0.23507,                 0.2266,                  0.175,                 0.0791,                 2.0943,                 3.0598,                 2.3039,                 1.8514,                 3.5712,                  2.221,               0.009307,               0.009307,               0.009307
                     10,                 1.5894,                 1.9689,                  1.621,                 1.5011,                 2.4649,                 1.5514,                0.25147,                0.14221,                0.12647,                0.04696,                 2.4585,                 3.3412,                 2.7515,                 2.1443,                 3.8184,                 2.4987,               0.009208,               0.009208,               0.009208
                     11,                 1.5293,                 1.8972,                 1.5983,                 1.4782,                 2.3602,                 1.5313,                0.47481,                0.39159,                0.34632,                0.15759,                 1.7442,                 2.2618,                 1.9092,                 1.6997,                 2.7436,                 1.9365,               0.009109,               0.009109,               0.009109
                     12,                 1.5114,                 1.8578,                 1.5805,                 1.4762,                 2.2763,                 1.5151,                0.49183,                0.40322,                0.35365,                0.17309,                 1.6656,                 2.2886,                 1.8818,                 1.6381,                 2.6839,                 1.8054,                0.00901,                0.00901,                0.00901
                     13,                 1.5052,                 1.7563,                  1.547,                 1.4796,                   2.15,                    1.5,                0.51657,                0.35527,                0.33634,                0.16099,                 1.9508,                 2.5928,                  2.163,                 1.8713,                 2.8555,                 2.1428,               0.008911,               0.008911,               0.008911
                     14,                 1.4937,                  1.762,                 1.5566,                 1.4754,                 2.1113,                 1.5003,                0.57386,                0.44981,                0.41874,                 0.1809,                 1.8315,                 2.0805,                 2.0092,                 1.7216,                  2.296,                  1.961,               0.008812,               0.008812,               0.008812
                     15,                 1.4805,                 1.7525,                 1.5474,                 1.4748,                 2.1032,                 1.4875,                0.47084,                0.26785,                0.20111,                0.08558,                    2.3,                  3.036,                  2.623,                 2.1251,                 3.4628,                  2.572,               0.008713,               0.008713,               0.008713
                     16,                 1.4707,                  1.685,                 1.5331,                 1.4463,                 2.0387,                 1.4676,                0.67006,                0.12393,                 0.0885,                0.03708,                 3.2102,                 3.8737,                 3.6635,                 2.9548,                 4.5138,                 3.5669,               0.008614,               0.008614,               0.008614
                     17,                  1.475,                 1.6823,                 1.5517,                 1.4859,                  2.024,                 1.5079,                0.86351,                0.01302,                0.01869,                0.00753,                 3.2647,                 4.2191,                 3.7993,                 3.1332,                 5.0127,                 3.7143,               0.008515,               0.008515,               0.008515
                     18,                 1.4787,                 1.6846,                 1.5601,                 1.4848,                   1.98,                 1.5134,                  0.582,                0.18665,                0.19181,                0.08693,                 2.2588,                 3.0066,                 2.5652,                 2.1426,                 3.3254,                 2.5062,               0.008416,               0.008416,               0.008416
                     19,                 1.4654,                 1.6293,                 1.5395,                 1.4763,                 1.9152,                 1.5005,                0.66169,                0.17427,                0.13095,                0.05651,                 2.6831,                 4.0261,                 3.0569,                 2.4597,                 4.5578,                 2.8678,               0.008317,               0.008317,               0.008317
                     20,                 1.4486,                 1.5858,                 1.5166,                 1.4534,                 1.8793,                 1.4686,                 0.5811,                0.19709,                0.19224,                0.08563,                 2.2222,                 3.2205,                 2.5647,                 2.1595,                  3.429,                 2.5194,               0.008218,               0.008218,               0.008218
                     21,                 1.4343,                 1.5494,                 1.5032,                 1.4526,                 1.8209,                 1.4567,                0.61597,                0.45055,                0.46377,                0.21444,                 1.6705,                 1.9461,                 1.9189,                 1.6234,                 1.9998,                 1.8494,               0.008119,               0.008119,               0.008119
                     22,                 1.4389,                 1.5437,                 1.5064,                 1.4599,                 1.7999,                 1.4719,                 0.6898,                0.17663,                0.24269,                0.08698,                 2.5134,                 3.4053,                 2.7657,                  2.441,                 3.7645,                 2.6778,                0.00802,                0.00802,                0.00802
                     23,                 1.4404,                 1.5284,                 1.5069,                 1.4661,                 1.7875,                 1.4634,                0.67296,                0.29786,                0.26268,                0.11407,                 2.2454,                 2.8002,                 2.6421,                 2.1431,                  3.176,                 2.5227,               0.007921,               0.007921,               0.007921
